protein_filename,length,avg_plddt
AF-P0AFW8-F1-model_v4.pdb,84,66.58749999999999
AF-P0A917-F1-model_v4.pdb,171,79.63128654970755
AF-P64602-F1-model_v4.pdb,97,93.0793814432989
AF-P76065-F1-model_v4.pdb,285,76.4504210526315
AF-P76535-F1-model_v4.pdb,298,95.79392617449669
AF-P77804-F1-model_v4.pdb,502,88.99713147410372
AF-P32125-F1-model_v4.pdb,175,92.28988571428569
AF-P75797-F1-model_v4.pdb,512,93.39712890625003
AF-P28369-F1-model_v4.pdb,166,90.90120481927704
AF-P36767-F1-model_v4.pdb,303,95.73231023102313
AF-P16677-F1-model_v4.pdb,262,89.46488549618319
AF-P39399-F1-model_v4.pdb,304,86.82536184210524
AF-P0ABR9-F1-model_v4.pdb,314,97.19047770700638
AF-P09169-F1-model_v4.pdb,317,93.06930599369085
AF-P67729-F1-model_v4.pdb,418,91.51500000000001
AF-P0AC44-F1-model_v4.pdb,115,94.5778260869565
AF-P76486-F1-model_v4.pdb,282,91.48886524822696
AF-P33666-F1-model_v4.pdb,852,84.79407276995303
AF-P76155-F1-model_v4.pdb,191,95.20465968586386
AF-P0ACZ8-F1-model_v4.pdb,227,85.64876651982381
AF-P0AGH5-F1-model_v4.pdb,296,91.64324324324325
AF-P0AFS1-F1-model_v4.pdb,330,88.99606060606064
AF-P17846-F1-model_v4.pdb,570,96.79954385964929
AF-P06992-F1-model_v4.pdb,273,94.16457875457878
AF-P0A850-F1-model_v4.pdb,432,88.63388888888895
AF-P0AFU8-F1-model_v4.pdb,213,95.02755868544598
AF-P37338-F1-model_v4.pdb,220,94.37422727272723
AF-P0ADY7-F1-model_v4.pdb,136,96.40691176470584
AF-P76549-F1-model_v4.pdb,130,73.50561538461538
AF-P0ADC1-F1-model_v4.pdb,193,87.4367875647668
AF-P77315-F1-model_v4.pdb,332,92.0657530120482
AF-P0AF03-F1-model_v4.pdb,195,96.02158974358976
AF-P76251-F1-model_v4.pdb,361,97.4079778393352
AF-P0ABE2-F1-model_v4.pdb,105,90.53580952380958
AF-P07012-F1-model_v4.pdb,365,86.22408219178081
AF-P0ADI7-F1-model_v4.pdb,188,98.41893617021277
AF-P0AG80-F1-model_v4.pdb,438,94.73018264840191
AF-P33668-F1-model_v4.pdb,122,85.11737704918036
AF-P0AGM9-F1-model_v4.pdb,463,88.51952483801296
AF-P27254-F1-model_v4.pdb,331,88.8748640483384
AF-P24205-F1-model_v4.pdb,323,94.93018575851393
AF-P37646-F1-model_v4.pdb,255,87.15305882352938
AF-P64515-F1-model_v4.pdb,131,96.02122137404581
AF-P52096-F1-model_v4.pdb,129,96.83930232558143
AF-P37013-F1-model_v4.pdb,504,85.4501388888889
AF-P0CF43-F1-model_v4.pdb,121,79.86438016528928
AF-P28634-F1-model_v4.pdb,235,94.69770212765957
AF-P37641-F1-model_v4.pdb,299,90.18384615384618
AF-P31806-F1-model_v4.pdb,515,93.68883495145646
AF-P15288-F1-model_v4.pdb,485,95.64523711340199
AF-P76121-F1-model_v4.pdb,189,96.86820105820112
AF-P75957-F1-model_v4.pdb,233,94.05068669527897
AF-P63883-F1-model_v4.pdb,417,88.81928057553957
AF-P39363-F1-model_v4.pdb,143,96.0954545454546
AF-P33343-F1-model_v4.pdb,180,84.38066666666668
AF-P39315-F1-model_v4.pdb,286,96.80342657342652
AF-P0AEY3-F1-model_v4.pdb,263,94.23695817490488
AF-P0AAM7-F1-model_v4.pdb,82,90.10341463414629
AF-P0ADM8-F1-model_v4.pdb,249,88.93847389558232
AF-P0AC13-F1-model_v4.pdb,282,93.3189361702128
AF-P75958-F1-model_v4.pdb,414,86.51417874396134
AF-P0AGI1-F1-model_v4.pdb,321,89.9018691588785
AF-P75937-F1-model_v4.pdb,402,93.85323383084575
AF-P06616-F1-model_v4.pdb,301,87.18009966777402
AF-P0A8X2-F1-model_v4.pdb,191,92.98764397905762
AF-P0AE12-F1-model_v4.pdb,484,90.93776859504129
AF-P0AEX3-F1-model_v4.pdb,432,86.8289814814815
AF-P45568-F1-model_v4.pdb,398,97.3017839195979
AF-P0ACV0-F1-model_v4.pdb,306,96.76346405228757
AF-P17169-F1-model_v4.pdb,609,95.13832512315273
AF-P0AG16-F1-model_v4.pdb,505,91.25546534653463
AF-P65807-F1-model_v4.pdb,403,97.29662531017381
AF-Q6BF87-F1-model_v4.pdb,35,93.80628571428574
AF-P37643-F1-model_v4.pdb,440,90.80400000000006
AF-P32709-F1-model_v4.pdb,318,87.58198113207548
AF-P10905-F1-model_v4.pdb,295,88.25125423728802
AF-Q46866-F1-model_v4.pdb,160,95.01431249999996
AF-P77335-F1-model_v4.pdb,303,93.2051815181518
AF-P0ABU0-F1-model_v4.pdb,285,97.22687719298244
AF-P00946-F1-model_v4.pdb,391,97.82882352941171
AF-P24224-F1-model_v4.pdb,126,96.95301587301589
AF-P0AFR9-F1-model_v4.pdb,264,89.51780303030306
AF-C1P604-F1-model_v4.pdb,21,89.8647619047619
AF-P0A9W9-F1-model_v4.pdb,184,96.65271739130438
AF-P37597-F1-model_v4.pdb,403,89.7127047146402
