protein_filename,length,avg_plddt
AF-P0C2I6-F1-model_v4.pdb,1755,66.97351566951563
AF-P46970-F1-model_v4.pdb,1048,85.23439885496182
AF-P60010-F1-model_v4.pdb,375,95.66216000000001
AF-P35189-F1-model_v4.pdb,244,85.50536885245903
AF-P41544-F1-model_v4.pdb,203,78.25610837438421
AF-Q05515-F1-model_v4.pdb,481,82.57334719334717
AF-Q3E769-F1-model_v4.pdb,90,48.79588888888889
AF-Q08280-F1-model_v4.pdb,497,83.96078470824943
AF-Q12697-F1-model_v4.pdb,1472,71.94853940217396
AF-P32335-F1-model_v4.pdb,436,84.41022935779822
AF-P09064-F1-model_v4.pdb,285,68.57371929824563
AF-P20053-F1-model_v4.pdb,465,85.85012903225808
AF-Q12518-F1-model_v4.pdb,454,69.75610132158593
AF-Q12041-F1-model_v4.pdb,191,65.89340314136125
AF-Q12505-F1-model_v4.pdb,502,77.20227091633475
AF-P47081-F1-model_v4.pdb,118,83.25313559322036
AF-P02293-F1-model_v4.pdb,131,83.36427480916032
AF-Q3E7A9-F1-model_v4.pdb,73,90.76876712328766
AF-Q12298-F1-model_v4.pdb,539,83.95037105751388
AF-P25338-F1-model_v4.pdb,174,95.29040229885055
AF-P37298-F1-model_v4.pdb,181,85.28077348066297
AF-P40884-F1-model_v4.pdb,581,96.03549053356282
AF-P53046-F1-model_v4.pdb,1155,71.42367965367954
AF-P25631-F1-model_v4.pdb,222,81.65927927927926
AF-P31539-F1-model_v4.pdb,908,84.34686123348018
AF-P00854-F1-model_v4.pdb,259,88.22818532818526
AF-P38839-F1-model_v4.pdb,148,51.38250000000001
AF-P10823-F1-model_v4.pdb,449,77.10403118040082
AF-P00044-F1-model_v4.pdb,109,97.55165137614682
AF-P47110-F1-model_v4.pdb,350,68.69911428571434
AF-P53969-F1-model_v4.pdb,484,85.57719008264465
AF-Q12288-F1-model_v4.pdb,251,96.35956175298807
AF-P38255-F1-model_v4.pdb,430,65.08816279069765
AF-Q07748-F1-model_v4.pdb,340,96.09085294117641
AF-P53053-F1-model_v4.pdb,380,75.51344736842107
AF-Q12468-F1-model_v4.pdb,440,59.85672727272724
AF-P32614-F1-model_v4.pdb,470,96.95538297872345
AF-P38156-F1-model_v4.pdb,614,77.56890879478827
AF-P87012-F1-model_v4.pdb,153,58.80405228758169
AF-P47977-F1-model_v4.pdb,285,66.75592982456139
AF-P53216-F1-model_v4.pdb,100,55.3331
